Regulation ID,Regulation Name,Issuer,Effective Date,Scope,Industry ID,Industry,Jurisdiction,Summary,Source URL,Data Sources,Last Updated,Notes
REG-000001,"Indonesia: GDP, education, product market regulation, employment",OECD,,Indonesia,IND-000037,Education Services,Indonesia,"Indonesia: GDP, education, product market regulation, employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,3,30]],""date-time"":"" … 95"",""type"":""component"",""created"":{""date-parts"":[[2012,1,16]],""date-time"":""2012-01-16T08:14:44Z"",""timestamp"":1326701684000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Indonesia: GDP, education, product market regulation, employment""],""prefix"":""10.1787"",""member"":""1963"",""container-title"":[],""original-title"":[],""deposited"":{""date-parts"":[[2021,9,3]],""date-ti … ""original_url"": ""https://api.crossref.org/works/10.1787/888932565395"", ""checksum"": ""8ab38ffae2976186c847e24e75d60b096d2ce5e75158f5cfaf508937276ab5d3"", ""version"": ""2.0"", ""title"": ""Indonesia: GDP, education, product market regulation, e",https://api.crossref.org/works/10.1787/888932565395,source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.1787/888932565395; published=; retrieved=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=; retrieved_date=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-REGULATI; document=DOC-8AB38FFAE297; append_only=true; extraction=grounded_text; evidence=Indonesia: GDP, education, product market regulation, employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,3,30]],""date-time"":"" … 95"",""type"":""component"",""created"":{""date-parts"":[[2012,1,16]],""date-time"":""2012-01-16T08:14:44Z"",""timestamp"":1326701684000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Indonesia: GDP, education, "
REG-000002,Regulation Dataset — employment regulation Indonesia World Bank document related to: Produce Regulation Datase,World Bank,,Indonesia,IND-000002,Banking,Indonesia,World Bank document World Bank document World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia … Bank document World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia,https://documents.worldbank.org/search?q=Produce+Regulation+Dataset+—+employment+regulation+Indonesia,source_ids=SRC-000004; urls=https://documents.worldbank.org/search?q=Produce+Regulation+Dataset+—+employment+regulation+Indonesia; published=; retrieved=2026-07-11T06:04:16+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,provenance: source=SRC-000004; published_date=; retrieved_date=2026-07-11T06:04:16+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-REGULATI; document=DOC-EA636C0FB2C0; append_only=true; extraction=grounded_text; evidence=World Bank document World Bank document World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia … Bank document World Bank document related to: Produce Regulation Dataset — employment regulation Indonesia World Bank document related to: Produce Regulation Dataset — empl
REG-000003,"Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1",OECD,,,IND-000001,Manufacturing,Indonesia,"3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular and temporary employment"",""reference-count"":0,""publisher"":""Organisation for Economic Co-Operation and Development (OECD)"",""content-domain"":{""domain"":[],""crossmark-restr … type"":""component"",""created"":{""date-parts"":[[2009,6,9]],""date-time"":""2009-06-09T13:04:54Z"",""timestamp"":1244552694000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""3.14. Regulation of regular and temporary employment""]",https://api.crossref.org/works/10.1787/644580062524,source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.1787/644580062524; published=; retrieved=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=; retrieved_date=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-REGULATI; document=DOC-7F982CEB8EFD; append_only=true; extraction=grounded_text; evidence=3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular"
REG-000004,"Regulation of regular and temporary employment"",""reference-count"":0,""publisher"":""Organisation for Economic Co-",OECD,,,IND-000001,Manufacturing,Indonesia,"3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular and temporary employment"",""reference-count"":0,""publisher"":""Organisation for Economic Co-Operation and Development (OECD)"",""content-domain"":{""domain"":[],""crossmark-restr … type"":""component"",""created"":{""date-parts"":[[2009,6,9]],""date-time"":""2009-06-09T13:04:54Z"",""timestamp"":1244552694000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""3.14. Regulation of regular and temporary employment""]",https://api.crossref.org/works/10.1787/644580062524,source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.1787/644580062524; published=; retrieved=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=; retrieved_date=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-REGULATI; document=DOC-7F982CEB8EFD; append_only=true; extraction=grounded_text; evidence=3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular"
REG-000005,"Regulation of regular and temporary employment""],""prefix"":""10",OECD,,,IND-000001,Manufacturing,Indonesia,"3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular and temporary employment"",""reference-count"":0,""publisher"":""Organisation for Economic Co-Operation and Development (OECD)"",""content-domain"":{""domain"":[],""crossmark-restr … type"":""component"",""created"":{""date-parts"":[[2009,6,9]],""date-time"":""2009-06-09T13:04:54Z"",""timestamp"":1244552694000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""3.14. Regulation of regular and temporary employment""]",https://api.crossref.org/works/10.1787/644580062524,source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.1787/644580062524; published=; retrieved=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=; retrieved_date=2026-07-11T06:03:43+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-REGULATI; document=DOC-7F982CEB8EFD; append_only=true; extraction=grounded_text; evidence=3.14. Regulation of regular and temporary employment {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05 … ,""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,6]],""date-time"":""2022-04-06T03:03:05Z"",""timestamp"":1649214185196},""description"":""3.14. Regulation of regular"
